PROLIFIC_PID,IPAddress,stai,income,education,age,Dim.1,Dim.2
NA,NA,64,4,6,29,NA,NA
NA,74.67.45.4,29,7,6,33,NA,NA
NA,163.123.222.62,53,11,5,36,NA,NA
NA,45.41.224.54,57,4,6,46,NA,NA
NA,77.111.246.37,48,2,3,21,NA,NA
NA,171.61.144.100,35,3,5,29,NA,NA
NA,73.138.89.99,23,4,6,36,NA,NA
NA,208.203.212.69,49,5,5,35,NA,NA
NA,138.185.5.54,64,5,5,46,NA,NA
NA,206.54.198.154,26,5,4,31,NA,NA
NA,68.13.241.158,56,7,2,31,NA,NA
NA,63.75.240.67,51,6,5,26,NA,NA
NA,216.250.251.132,51,3,5,50,NA,NA
NA,147.124.213.125,47,10,5,37,NA,NA
NA,154.13.48.89,51,9,5,48,NA,NA
NA,196.17.64.50,48,2,6,31,NA,NA
NA,70.179.46.77,50,3,3,28,NA,NA
NA,157.46.89.216,40,5,5,39,NA,NA
NA,72.166.30.2,55,9,5,35,NA,NA
NA,179.246.214.50,50,1,2,19,NA,NA
NA,196.17.66.1,35,5,5,26,NA,NA
NA,208.203.212.104,43,3,6,42,NA,NA
NA,155.186.221.48,50,5,3,47,NA,NA
NA,170.75.155.45,48,4,5,25,NA,NA
NA,207.255.130.97,57,1,5,35,NA,NA
NA,23.226.29.82,52,8,6,21,NA,NA
NA,162.210.148.102,44,6,5,41,NA,NA
NA,71.58.90.56,70,7,6,34,NA,NA
NA,216.173.101.122,51,8,5,64,NA,NA
NA,47.135.5.14,30,4,5,31,NA,NA
NA,186.212.74.191,34,5,3,30,NA,NA
NA,104.251.223.218,46,8,6,33,NA,NA
NA,65.190.245.108,21,3,5,39,NA,NA
NA,98.242.38.121,31,6,4,33,NA,NA
NA,73.225.165.65,NA,NA,NA,NA,NA,NA
NA,179.183.181.192,NA,NA,NA,NA,NA,NA
NA,73.34.51.238,NA,NA,NA,NA,NA,NA
NA,208.195.16.14,NA,NA,NA,NA,NA,NA
NA,23.177.176.73,NA,NA,NA,NA,NA,NA
NA,208.203.212.158,NA,NA,NA,NA,NA,NA
NA,75.41.166.226,NA,NA,NA,NA,NA,NA
NA,208.195.27.229,NA,NA,NA,NA,NA,NA
NA,45.41.224.31,NA,NA,NA,NA,NA,NA
NA,163.123.220.16,NA,NA,NA,NA,NA,NA
NA,108.175.178.141,NA,NA,NA,NA,NA,NA
NA,24.95.181.46,NA,NA,NA,NA,NA,NA
NA,49.37.220.86,NA,NA,NA,NA,NA,NA
NA,163.123.220.121,NA,NA,NA,NA,NA,NA
NA,68.110.70.163,NA,NA,NA,NA,NA,NA
NA,196.17.65.9,NA,NA,NA,NA,NA,NA
NA,140.228.29.40,NA,NA,NA,NA,NA,NA
NA,198.14.24.126,NA,NA,NA,NA,NA,NA
NA,49.204.131.67,NA,NA,NA,NA,NA,NA
NA,200.229.27.116,NA,NA,NA,NA,NA,NA
NA,98.10.58.230,NA,NA,NA,NA,NA,NA
NA,208.203.211.45,NA,NA,NA,NA,NA,NA
NA,72.178.230.17,NA,NA,NA,NA,NA,NA
NA,155.186.221.48,NA,NA,NA,NA,NA,NA
NA,63.75.242.21,NA,NA,NA,NA,NA,NA
NA,196.17.66.1,NA,NA,NA,NA,NA,NA
NA,73.51.6.27,NA,NA,NA,NA,NA,NA
NA,163.123.221.71,NA,NA,NA,NA,NA,NA
NA,102.129.217.62,NA,NA,NA,NA,NA,NA
NA,185.169.252.156,NA,NA,NA,NA,NA,NA
NA,170.75.148.239,NA,NA,NA,NA,NA,NA
NA,73.228.109.186,NA,NA,NA,NA,NA,NA
NA,66.154.98.150,NA,NA,NA,NA,NA,NA
NA,157.49.252.210,NA,NA,NA,NA,NA,NA
NA,216.47.34.57,NA,NA,NA,NA,NA,NA
NA,104.251.223.196,NA,NA,NA,NA,NA,NA
NA,45.90.222.51,NA,NA,NA,NA,NA,NA
NA,82.79.3.154,NA,NA,NA,NA,NA,NA
NA,98.242.38.121,NA,NA,NA,NA,NA,NA
5c3cc65bfcb87600014b707a,71.47.201.194,30,7,4,44,1.4605782438007406,-3.3133762961467577
5e68194d69f4cf0d24341331,169.237.235.65,30,9,5,29,0.5180807486525933,1.3026911965471502
5d82dce291fa480016305897,174.240.89.127,31,11,3,22,2.4757949134081065,-1.590250588167358
5dd05b3a381b6714036968f7,98.121.31.40,27,4,3,21,5.128513473480848,-1.0722961692361839
5a6eac90d5d4cb0001d6815a,45.49.81.35,48,9,5,27,-3.344137307414659,-4.709697468694877
5d89c4dd68f9d60001a21500,24.10.3.148,49,12,2,24,-4.965165287564174,-1.813571178811424
5f1b013bc6a954057d31428e,75.131.149.35,41,6,1,20,NA,NA
60ad9bb50498f3a88f8f4c4f,73.247.161.234,62,1,1,18,-4.414463912858888,3.6650803801932956
5f2150b3319efd2d619a356b,24.184.224.102,37,5,3,20,-2.3951991655773432,-1.1833288353813411
6110b932387d8b48daa71519,68.234.167.24,59,1,3,20,-5.158971990523192,0.6281904264996122
60ff03bff7510240e42ea366,96.235.189.243,38,11,3,20,-1.6140863903208866,-1.6536691261967509
61245769826057b69678987a,104.173.14.5,43,4,2,19,3.814150275352978,2.327703014488689
5bcbde9d08a62c0001f86bd0,108.220.13.47,20,8,5,38,4.088801102840728,-1.8225887410904915
587674406e2f8d00015c6148,73.228.12.77,59,11,5,31,-1.184154492897846,1.6583160783993567
5e72cb561b6e9c21954bd7da,73.166.9.26,39,6,5,23,3.1955824939724273,-2.310489587339113
5c1813d5d2790700010a718f,99.164.34.236,60,11,5,28,4.457684869862111,-1.8898610311881496
5de9ef512dc5c612021d3038,69.234.94.177,33,3,4,23,1.7394388411001167,4.059805211984922
5f49806859401418f7ec6764,47.153.237.154,30,6,5,23,3.1529115004825345,-2.543218646657766
6141ade0a0c0141ea2acdd86,68.225.243.227,55,7,6,23,5.264937755875402,1.9049708358097688
57587b29713d8400061730e4,104.174.3.104,56,5,5,40,-2.9159914086064176,-0.5672699784905374
5dbacecee2fafc0e38007428,70.160.113.197,41,1,2,24,-2.1873823951982008,-4.017838659035584
5eb21a0c910e381845f143df,97.90.205.156,39,11,3,20,NA,NA
60fddeb6dfaa94f6424e0916,207.151.52.170,50,12,2,18,3.7119829294339586,0.2870627919618243
5c2fcf0aa945190001be8c68,68.206.91.251,26,11,6,27,4.21943684906732,1.4531574706741037
58d9a79c33fef3000118abdf,98.34.54.128,48,6,2,32,NA,NA
5fb5611ae70d1603f68b026a,73.82.100.236,62,2,5,31,-7.93648733030633,2.8749420591335673
607d8d87cda66ac1ec2b0efe,47.204.109.90,38,1,2,31,1.3829242454584585,3.0929999877051375
60ba71aa8f2ae12d3a595982,73.77.43.105,40,12,3,19,-2.2694246996528005,0.29696259962603166
60d66ec4a3c13ac0f607e7d9,172.58.7.13,36,5,3,33,2.580746983524762,0.2073280331149656
60ffa27ef109cff85bbdb0d0,107.127.28.65,57,1,4,NA,2.204452940048122,3.9535539063564595
6111e4c21e6d5d5300f071fb,24.56.12.159,36,8,4,21,4.087606245794094,-0.7342819666165056
578072b0c6144900014a0471,76.234.224.226,38,7,2,30,3.5700162108125295,0.3246436336503567
5c3388fa01439b0001a0adfe,73.197.96.123,49,10,6,38,0.41472399904564033,-0.5393658193498742
5f6a764005a70d141c63f9e8,69.209.111.44,54,8,2,20,-0.9215302798484095,2.3109745787188682
5d72b189bcfd5b0001192507,99.47.125.191,32,3,2,47,0.0630352499330865,-1.2838142662200973
61000548bfce02691ae7b0e3,68.193.219.233,54,1,4,22,-1.8737329525414954,0.14480058773296808
5e90031ac75edb305da74300,75.187.208.23,31,10,3,35,3.47703795020903,-0.07231407636862182
60fe83c4f1cfa0b516b363cc,68.229.49.232,40,5,4,21,-2.031918730819498,0.4181042121702306
5fb47a567e81961ae89ac614,68.129.245.74,43,6,6,32,-1.6381369014564835,-0.7200459904343549
612b171fea06ce92c9062185,73.93.162.174,64,7,6,36,-2.249235923300015,-5.393033448554268
6123c20b090581816f672f1d,202.182.64.177,51,12,5,27,-1.9835393636801726,-1.3970496106643022
5bb09ecf6322c50001584d36,76.102.89.2,47,4,3,24,-1.783834425401516,-1.6347641263571868
5fbc1367373b9307763985c0,76.168.120.206,52,8,5,24,-1.8344396199209985,4.244017190155337
58be2fc3bfc0f4000179f3c5,108.28.20.52,56,4,7,50,-3.4417229096171083,-0.5725954596538869
60469ae0450a7a0d20d26ee8,108.221.21.115,48,11,3,18,-1.575176994657388,0.9040431783026508
61075b92e19f66cbabb8abf7,108.88.249.99,53,3,6,30,-2.189102404149121,0.5126856030386049
60fcbd199a46e6cdec74aedb,76.167.124.202,55,4,3,21,-2.39710123303875,0.7330024091698503
5ea9ee70bd6e6c158af94cca,71.47.173.127,41,2,5,28,-0.9755898639023224,-2.0586790002976527
5d4f5ba3cafff0001b4426b3,35.132.76.45,41,5,2,29,NA,NA
5aeab6e39e185a0001b9e272,104.33.234.210,48,8,3,30,-1.6400509209182423,-1.0455895265285948
5f127c7b5f0aa11e0ebadb56,76.169.51.77,65,2,2,20,-1.3617711201075404,1.2396758516837114
5a2111b5bf56cc000176feb5,107.77.237.56,61,7,4,37,-1.0617107606799028,-0.016659569991394473
5d0dd940312297000137d2a7,74.138.37.77,68,1,5,64,-4.227653622333265,2.414504072900123
5eda94f69f275211dff92234,73.96.129.230,38,3,5,38,-0.020548726313416383,1.9021625225578433
5a67725b63394a000155abbb,98.214.70.215,50,4,3,46,3.1891003856319333,1.4244030045178901
5d83c1e911cb3a0001570ea4,47.38.238.100,38,11,5,51,4.674246561595771,0.3061963660310695
5ead45a386fbbe3c8eebe510,158.222.131.224,55,6,5,25,1.5288578286170913,1.9142509741426805
56fdff4ee0f9ff000f19c466,100.38.113.248,50,2,5,75,2.692062059992844,-1.2890298221773984
5a9262251eda410001360b2c,99.19.77.38,51,3,2,38,-1.5004435243868508,-1.2615491876166132
